,Owner,Team,League,Recipient,Amount,Election Year,Party
95,Bill Foley,Vegas Golden Knights,NHL,SENATE LEADERSHIP FUND,82300,2018,Republican
96,Bill Foley,Vegas Golden Knights,NHL,RICK SCOTT VICTORY FUND,36600,2018,Republican
97,Bill Foley,Vegas Golden Knights,NHL,MCSALLY ARIZONA VICTORY FUND,20400,2018,Republican
98,Bill Foley,Vegas Golden Knights,NHL,HELLER VICTORY COMMITTEE,17700,2018,Republican
99,Bill Foley,Vegas Golden Knights,NHL,ROSENDALE VICTORY FUND,15300,2018,Republican
100,Bill Foley,Vegas Golden Knights,NHL,HOUSLEY FOR SENATE COMMITTEE,5400,2018,Republican
101,Bill Foley,Vegas Golden Knights,NHL,JOSH HAWLEY FOR SENATE,5400,2018,Republican
102,Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,TRUMP VICTORY,17501,2020,Republican
103,Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,NEVADANS FOR STEVEN HORSFORD,5600,2020,Democrat
104,Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,SUSIE LEE FOR CONGRESS,5600,2020,Democrat
105,Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,HELLER FOR SENATE,5400,2018,Republican
106,Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,NEVADANS FOR STEVEN HORSFORD,5400,2018,Democrat
107,Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,SUSIE LEE FOR CONGRESS,5400,2018,Democrat
108,Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,AMERICAN POSSIBILITIES PAC,5000,2018,Democrat
109,Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,BIDEN FOR PRESIDENT,2800,2020,Democrat
110,Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,ACTBLUE,1120,2020,Democrat
111,Bill Hornbuckle (MGM Resorts International),Las Vegas Aces,WNBA,ROMNEY FOR UTAH INC,1000,2018,Republican
112,Billie Jean King,Los Angeles Dodgers,MLB,AMY FOR AMERICA,2800,2020,Democrat
113,Billie Jean King,Los Angeles Dodgers,MLB,"AMY MCGRATH FOR SENATE, INC.",2800,2020,Democrat
114,Billie Jean King,Los Angeles Dodgers,MLB,BIDEN FOR PRESIDENT,2800,2020,Democrat
115,Billie Jean King,Los Angeles Dodgers,MLB,DSCC,1400,2020,Democrat
116,Billie Jean King,Los Angeles Dodgers,MLB,JAIME HARRISON FOR US SENATE,1400,2020,Democrat
117,Bob Nutting,Pittsburgh Pirates,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,10000,2016,Bipartisan
118,Bob Nutting,Pittsburgh Pirates,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,10000,2018,Bipartisan
119,Bob Nutting,Pittsburgh Pirates,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,5000,2020,Bipartisan
120,Bob R. Simpson,Texas Rangers,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,3000,2018,Bipartisan
121,Bob R. Simpson,Texas Rangers,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,1000,2016,Bipartisan
122,Bob R. Simpson,Texas Rangers,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,1000,2020,Bipartisan
123,Bobby Patton,Los Angeles Dodgers,MLB,HILLARY VICTORY FUND,36100,2016,Democrat
124,Bruce Sherman,Miami Marlins,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,5000,2020,Bipartisan
125,Bruce Sherman,Miami Marlins,MLB,RO FOR CONGRESS,2700,2018,Democrat
126,Bruce Sherman,Miami Marlins,MLB,RO FOR CONGRESS,1000,2020,Democrat
127,Bryan Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,10000,2016,Bipartisan
128,Bryan Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,10000,2018,Bipartisan
129,Bryan Glazer,Tampa Bay Buccaneers,NFL,CHARLIE CRIST FOR CONGRESS,5600,2020,Democrat
130,Bryan Glazer,Tampa Bay Buccaneers,NFL,CHARLIE CRIST FOR CONGRESS,5400,2018,Democrat
131,Bryan Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,5000,2020,Bipartisan
132,Bryan Glazer,Tampa Bay Buccaneers,NFL,CHARLIE CRIST FOR CONGRESS,2700,2016,Democrat
133,Bryan Glazer,Tampa Bay Buccaneers,NFL,RICK SCOTT FOR FLORIDA,2700,2018,Republican
134,Carole Moreno,Los Angeles Angels of Anaheim,MLB,MCCONNELL FOR MAJORITY LEADER COMMITTEE,10600,2020,Republican
135,Carole Moreno,Los Angeles Angels of Anaheim,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,10000,2018,Bipartisan
136,Carole Moreno,Los Angeles Angels of Anaheim,MLB,COLLINS FOR SENATOR,5600,2020,Republican
137,Carole Moreno,Los Angeles Angels of Anaheim,MLB,TIFFANY SHEDD FOR CONGRESS COMMITTEE,5600,2020,Republican
