,Owner,Team,League,Recipient,Amount,Election Year,Party
1359,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF DAVE JOYCE,2000,2018,Republican
1360,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF ROY BLUNT,2000,2018,Republican
1361,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",GREG PENCE FOR CONGRESS,2000,2018,Republican
1362,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",JEFF FORTENBERRY FOR UNITED STATES CONGRESS,2000,2018,Republican
1363,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",JIM RISCH FOR U S SENATE COMMITTEE,2000,2018,Republican
1364,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MAKING AMERICA PROSPEROUS PAC,2000,2018,Republican
1365,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",PORTMAN FOR SENATE COMMITTEE,2000,2018,Republican
1366,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",STEVE DAINES FOR MONTANA,2000,2018,Republican
1367,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL","BEN CARDIN FOR SENATE, INC.",2000,2018,Democrat
1368,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CORY BOOKER FOR SENATE,2000,2018,Democrat
1369,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",GARAMENDI FOR CONGRESS,2000,2018,Democrat
1370,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MARTIN HEINRICH FOR SENATE,2000,2018,Democrat
1371,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",TEXANS FOR HENRY CUELLAR CONGRESSIONAL CAMPAIGN,2000,2018,Democrat
1372,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",WYDEN FOR SENATE,2000,2018,Democrat
1373,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",BOB CORKER FOR SENATE 2018 INC,1000,2016,Republican
1374,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CARLOS CURBELO CONGRESS,1000,2016,Republican
1375,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",COLLINS FOR SENATOR,1000,2016,Republican
1376,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CORY GARDNER FOR SENATE,1000,2016,Republican
1377,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF JIM BRIDENSTINE INC.,1000,2016,Republican
1378,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",JEFF FLAKE FOR US SENATE INC,1000,2016,Republican
1379,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",RYAN COSTELLO FOR CONGRESS,1000,2016,Republican
1380,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",BLUMENAUER FOR CONGRESS,1000,2016,Democrat
1381,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",FRIENDS OF BRADY WALKINSHAW,1000,2016,Democrat
1382,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",WHITEHOUSE FOR SENATE,1000,2016,Democrat
1383,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CARLOS CURBELO CONGRESS,1000,2018,Republican
1384,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",CULBERSON FOR CONGRESS,1000,2018,Republican
1385,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DEBBIE DINGELL FOR CONGRESS,1000,2018,Republican
1386,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MARTHA ROBY FOR CONGRESS,1000,2018,Republican
1387,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",ROBERT ADERHOLT FOR CONGRESS,1000,2018,Republican
1388,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",ROYCE CAMPAIGN COMMITTEE,1000,2018,Republican
1389,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",SANFORD FOR CONGRESS,1000,2018,Republican
1390,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",VOLUNTEERS FOR SHIMKUS,1000,2018,Republican
1391,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",DIANA DEGETTE FOR CONGRESS,1000,2018,Democrat
1392,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",VISCLOSKY FOR CONGRESS,1000,2018,Democrat
1393,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",COMSTOCK FOR CONGRESS,500,2016,Republican
1394,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",MIKE HONDA FOR CONGRESS,500,2016,Democrat
1395,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",REED COMMITTEE; THE,500,2016,Democrat
1396,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",SAWTOOTH POLITICAL ACTION COMMITTEE (SAWTOOTH PAC),500,2018,Republican
1397,Jody Allen (Paul G. Allen Trust),"Portland Trail Blazers, Seattle Seahawks","NBA, NFL",WALDEN FOR CONGRESS,500,2018,Republican
1398,Joe Ellis,Denver Broncos,NFL,GRIDIRON-PAC,10000,2016,Bipartisan
1399,Joe Ellis,Denver Broncos,NFL,STAPLETON VICTORY FUND,10000,2018,Republican
1400,Joe Ellis,Denver Broncos,NFL,GRIDIRON-PAC,5000,2018,Bipartisan
1401,Joe Ellis,Denver Broncos,NFL,GRIDIRON-PAC,5000,2020,Bipartisan
1402,Joe Ellis,Denver Broncos,NFL,COLORADO REPUBLICAN COMMITTEE,2000,2016,Republican
1403,Joe Gibbs,Joe Gibbs Racing,NASCAR,"PITTENGER FOR CONGRESS, LLC",5000,2018,Republican
1404,Joe Gibbs,Joe Gibbs Racing,NASCAR,THE PITTENGER VICTORY FUND,5000,2018,Republican
1405,Joel Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,10000,2016,Bipartisan
1406,Joel Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,10000,2018,Bipartisan
1407,Joel Glazer,Tampa Bay Buccaneers,NFL,HILLARY VICTORY FUND,5400,2016,Democrat
1408,Joel Glazer,Tampa Bay Buccaneers,NFL,CHARLIE CRIST FOR CONGRESS,5400,2018,Democrat
1409,Joel Glazer,Tampa Bay Buccaneers,NFL,GRIDIRON-PAC,5000,2020,Bipartisan
1410,John Fisher,Oakland Athletics,MLB,COTTON VICTORY,10400,2018,Republican
1411,John Fisher,Oakland Athletics,MLB,BOB CORKER FOR SENATE 2018 INC,5400,2018,Republican
1412,John Fisher,Oakland Athletics,MLB,COMSTOCK FOR CONGRESS,5400,2018,Republican
1413,John Fisher,Oakland Athletics,MLB,DAN CRENSHAW FOR CONGRESS,5400,2018,Republican
1414,John Fisher,Oakland Athletics,MLB,FRIENDS OF ANDY COLEMAN,5400,2018,Republican
1415,John Fisher,Oakland Athletics,MLB,HATCH ELECTION COMMITTEE INC,5400,2018,Republican
1416,John Fisher,Oakland Athletics,MLB,HELLER FOR SENATE,5400,2018,Republican
1417,John Fisher,Oakland Athletics,MLB,HURD VICTORY FUND,5400,2018,Republican
1418,John Fisher,Oakland Athletics,MLB,JEFF FLAKE FOR US SENATE INC,5400,2018,Republican
1419,John Fisher,Oakland Athletics,MLB,MIMI WALTERS VICTORY FUND,5400,2018,Republican
1420,John Fisher,Oakland Athletics,MLB,SASSE LEADERSHIP COMMITTEE,5400,2018,Republican
1421,John Fisher,Oakland Athletics,MLB,WINNING WOMEN FOR THE US SENATE,5400,2018,Republican
1422,John Fisher,Oakland Athletics,MLB,CARPER FOR SENATE,5400,2018,Democrat
1423,John Fisher,Oakland Athletics,MLB,DIANA DEGETTE FOR CONGRESS,5400,2018,Democrat
1424,John Fisher,Oakland Athletics,MLB,FEINSTEIN FOR SENATE 2024,5400,2018,Democrat
1425,John Fisher,Oakland Athletics,MLB,MORE CONSERVATIVES PAC (MCPAC),5000,2018,Republican
1426,John Fisher,Oakland Athletics,MLB,GAP INC. POLITICAL ACTION COMMITTEE; THE,5000,2020,Bipartisan
1427,John Fisher,Oakland Athletics,MLB,BRADY FOR CONGRESS,2800,2020,Republican
1428,John Fisher,Oakland Athletics,MLB,MAKING AMERICA PROSPEROUS PAC,2700,2018,Republican
1429,John Fisher,Oakland Athletics,MLB,CORY BOOKER FOR SENATE,2700,2018,Democrat
1430,John Fisher,Oakland Athletics,MLB,DOUG JONES FOR SENATE COMMITTEE,2700,2018,Democrat
1431,John Fisher,Oakland Athletics,MLB,KENNETH SHEETS FOR CONGRESS,1000,2018,Republican
1432,John Fisher,Oakland Athletics,MLB,VAN TAYLOR CAMPAIGN,1000,2018,Republican
1433,John Mara,New York Giants,NFL,GRIDIRON-PAC,10000,2016,Bipartisan
1434,John Mara,New York Giants,NFL,GRIDIRON-PAC,5000,2018,Bipartisan
1435,John Mara,New York Giants,NFL,GRIDIRON-PAC,5000,2020,Bipartisan
1436,John Mara,New York Giants,NFL,HATCH ELECTION COMMITTEE INC,1000,2016,Republican
1437,John Middleton,Philadelphia Phillies,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,10000,2018,Bipartisan
1438,John Middleton,Philadelphia Phillies,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,5000,2020,Bipartisan
1439,John Middleton,Philadelphia Phillies,MLB,BRIER FOR CONGRESS,2800,2020,Democrat
1440,John Middleton,Philadelphia Phillies,MLB,CATHY MCMORRIS RODGERS FOR CONGRESS,2700,2016,Republican
1441,John Middleton,Philadelphia Phillies,MLB,"KASICH FOR AMERICA, INC.",2700,2016,Republican
1442,John Middleton,Philadelphia Phillies,MLB,MCMORRIS RODGERS AMERICAN DREAM PROJECT; THE,2700,2016,Republican
1443,John P. McConnell,Columbus Blue Jackets,NHL,STIVERS VICTORY COMMITTEE,10400,2016,Republican
1444,John P. McConnell,Columbus Blue Jackets,NHL,STIVERS FOR CONGRESS,5400,2018,Republican
1445,John P. McConnell,Columbus Blue Jackets,NHL,PORTMAN VICTORY COMMITTEE,5000,2016,Republican
1446,John P. McConnell,Columbus Blue Jackets,NHL,TEAM JOSH,5000,2018,Republican
1447,John P. McConnell,Columbus Blue Jackets,NHL,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,4900,2016,Republican
1448,John P. McConnell,Columbus Blue Jackets,NHL,ANTHONY GONZALEZ FOR CONGRESS,2700,2018,Republican
1449,John P. McConnell,Columbus Blue Jackets,NHL,STIVERS FOR CONGRESS,1000,2020,Republican
1450,John P. McConnell,Columbus Blue Jackets,NHL,TIBERI FOR CONGRESS,500,2016,Republican
1451,John Rogers,Chicago Sky,WNBA,BLACK ECONOMIC ALLIANCE PAC,50000,2018,Democrat
1452,John Rogers,Chicago Sky,WNBA,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,43400,2016,Democrat
1453,John Rogers,Chicago Sky,WNBA,DSCC,35000,2016,Democrat
1454,John Rogers,Chicago Sky,WNBA,DSCC,32500,2018,Democrat
1455,John Rogers,Chicago Sky,WNBA,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,25000,2018,Democrat
1456,John Rogers,Chicago Sky,WNBA,HILLARY ACTION FUND,20000,2016,Democrat
1457,John Rogers,Chicago Sky,WNBA,HILLARY FOR AMERICA,20000,2016,Democrat
1458,John Rogers,Chicago Sky,WNBA,ILLINOIS VOICES MATTER,15000,2016,Democrat
1459,John Rogers,Chicago Sky,WNBA,DCCC,11000,2016,Democrat
1460,John Rogers,Chicago Sky,WNBA,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,10000,2016,"Bipartisan, but mostly Republican"
1461,John Rogers,Chicago Sky,WNBA,DCCC,10000,2018,Democrat
1462,John Rogers,Chicago Sky,WNBA,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE,10000,2018,"Bipartisan, but mostly Republican"
1463,John Rogers,Chicago Sky,WNBA,DSCC,10000,2020,Democrat
1464,John Rogers,Chicago Sky,WNBA,INVESTMENT COMPANY INSTITUTE POLITICAL ACTION COMMITTEE (ICI PAC),10000,2020,"Bipartisan, but mostly Republican"
1465,John Rogers,Chicago Sky,WNBA,"AMY MCGRATH FOR SENATE, INC.",5600,2020,Democrat
1466,John Rogers,Chicago Sky,WNBA,BEATTY FOR CONGRESS,5600,2020,Democrat
1467,John Rogers,Chicago Sky,WNBA,CHUY GARCIA FOR CONGRESS,5600,2020,Democrat
1468,John Rogers,Chicago Sky,WNBA,CITIZENS FOR RUSH,5600,2020,Democrat
1469,John Rogers,Chicago Sky,WNBA,CORY BOOKER FOR SENATE,5600,2020,Democrat
1470,John Rogers,Chicago Sky,WNBA,ELISSA SLOTKIN FOR CONGRESS,5600,2020,Democrat
1471,John Rogers,Chicago Sky,WNBA,FRIENDS OF DICK DURBIN COMMITTEE,5600,2020,Democrat
1472,John Rogers,Chicago Sky,WNBA,FRIENDS OF RAJA FOR CONGRESS,5600,2020,Democrat
1473,John Rogers,Chicago Sky,WNBA,HICKENLOOPER FOR COLORADO,5600,2020,Democrat
1474,John Rogers,Chicago Sky,WNBA,KAREN BASS FOR CONGRESS,5600,2020,Democrat
1475,John Rogers,Chicago Sky,WNBA,KENNEDY FOR MASSACHUSETTS,5600,2020,Democrat
1476,John Rogers,Chicago Sky,WNBA,LAUREN UNDERWOOD FOR CONGRESS,5600,2020,Democrat
1477,John Rogers,Chicago Sky,WNBA,MAYA R. CUMMINGS FOR CONGRESS,5600,2020,Democrat
1478,John Rogers,Chicago Sky,WNBA,MICHAEL BLAKE FOR CONGRESS,5600,2020,Democrat
1479,John Rogers,Chicago Sky,WNBA,PETERS FOR MICHIGAN,5600,2020,Democrat
1480,John Rogers,Chicago Sky,WNBA,WARNOCK FOR GEORGIA,5600,2020,Democrat
1481,John Rogers,Chicago Sky,WNBA,FRIENDS OF MARK WARNER,5500,2020,Democrat
1482,John Rogers,Chicago Sky,WNBA,ANDREA ZOPP FOR US SENATE,5400,2016,Democrat
1483,John Rogers,Chicago Sky,WNBA,CATHERINE CORTEZ MASTO FOR SENATE,5400,2016,Democrat
1484,John Rogers,Chicago Sky,WNBA,CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,5400,2016,Democrat
1485,John Rogers,Chicago Sky,WNBA,FRIENDS OF RAJA FOR CONGRESS,5400,2016,Democrat
1486,John Rogers,Chicago Sky,WNBA,LON JOHNSON FOR CONGRESS,5400,2016,Democrat
1487,John Rogers,Chicago Sky,WNBA,ROBIN KELLY FOR CONGRESS,5400,2016,Democrat
1488,John Rogers,Chicago Sky,WNBA,RUSS FOR WISCONSIN,5400,2016,Democrat
1489,John Rogers,Chicago Sky,WNBA,STRICKLAND FOR SENATE,5400,2016,Democrat
1490,John Rogers,Chicago Sky,WNBA,FRIENDS OF RAJA FOR CONGRESS,5400,2018,Democrat
1491,John Rogers,Chicago Sky,WNBA,KAINE FOR VIRGINIA,5400,2018,Democrat
1492,John Rogers,Chicago Sky,WNBA,TERRI SEWELL FOR CONGRESS,5400,2018,Democrat
1493,John Rogers,Chicago Sky,WNBA,ROBIN KELLY FOR CONGRESS,5400,2020,Democrat
1494,John Rogers,Chicago Sky,WNBA,21ST CENTURY LEADERS,5000,2016,Democrat
1495,John Rogers,Chicago Sky,WNBA,ILLINOIS SENATE VICTORY,5000,2016,Democrat
1496,John Rogers,Chicago Sky,WNBA,PEAKS AND PALMS SENATE VICTORY,5000,2016,Democrat
1497,John Rogers,Chicago Sky,WNBA,44 FUND,5000,2018,Democrat
1498,John Rogers,Chicago Sky,WNBA,FEARLESS FOR THE PEOPLE PAC,5000,2018,Democrat
1499,John Rogers,Chicago Sky,WNBA,PERIMETER PAC,5000,2018,Democrat
1500,John Rogers,Chicago Sky,WNBA,RUST BELT RISING PAC,5000,2020,Democrat
1501,John Rogers,Chicago Sky,WNBA,UNITE THE COUNTRY,5000,2020,Democrat
1502,John Rogers,Chicago Sky,WNBA,JAIME HARRISON FOR US SENATE,3800,2020,Democrat
1503,John Rogers,Chicago Sky,WNBA,MIKIE SHERRILL FOR CONGRESS,3700,2018,Democrat
1504,John Rogers,Chicago Sky,WNBA,LAUREN UNDERWOOD FOR CONGRESS,3200,2018,Democrat
1505,John Rogers,Chicago Sky,WNBA,MCCASKILL FOR MISSOURI,3000,2018,Democrat
1506,John Rogers,Chicago Sky,WNBA,PEMBERTON FOR MA,3000,2020,Democrat
1507,John Rogers,Chicago Sky,WNBA,CLAIRE RUSSO FOR CONGRESS,2800,2020,Democrat
1508,John Rogers,Chicago Sky,WNBA,DEVAL FOR ALL,2800,2020,Democrat
1509,John Rogers,Chicago Sky,WNBA,DR. AL GROSS FOR U.S. SENATE,2800,2020,Democrat
1510,John Rogers,Chicago Sky,WNBA,JACKIE GORDON FOR CONGRESS,2800,2020,Democrat
1511,John Rogers,Chicago Sky,WNBA,KAMALA HARRIS FOR THE PEOPLE,2800,2020,Democrat
1512,John Rogers,Chicago Sky,WNBA,LULU FOR TEXAS,2800,2020,Democrat
1513,John Rogers,Chicago Sky,WNBA,MIKIE SHERRILL FOR CONGRESS,2800,2020,Democrat
1514,John Rogers,Chicago Sky,WNBA,NICK COLVIN FOR CONGRESS,2800,2020,Democrat
1515,John Rogers,Chicago Sky,WNBA,SCHAKOWSKY FOR CONGRESS,2800,2020,Democrat
1516,John Rogers,Chicago Sky,WNBA,SHERMAN FOR CONGRESS,2800,2020,Democrat
1517,John Rogers,Chicago Sky,WNBA,BENNET FOR COLORADO,2700,2016,Democrat
1518,John Rogers,Chicago Sky,WNBA,CLYDE WILLIAMS FOR CONGRESS,2700,2016,Democrat
1519,John Rogers,Chicago Sky,WNBA,ERIC LYNN FOR CONGRESS,2700,2016,Democrat
1520,John Rogers,Chicago Sky,WNBA,EVAN BAYH COMMITTEE,2700,2016,Democrat
1521,John Rogers,Chicago Sky,WNBA,FRIENDS OF CLYDE WILLIAMS,2700,2016,Democrat
1522,John Rogers,Chicago Sky,WNBA,FRIENDS OF DICK DURBIN,2700,2016,Democrat
1523,John Rogers,Chicago Sky,WNBA,GLENN IVEY FOR CONGRESS,2700,2016,Democrat
1524,John Rogers,Chicago Sky,WNBA,KATIE MCGINTY FOR SENATE,2700,2016,Democrat
1525,John Rogers,Chicago Sky,WNBA,O'MALLEY FOR PRESIDENT,2700,2016,Democrat
1526,John Rogers,Chicago Sky,WNBA,SCHAKOWSKY FOR CONGRESS,2700,2016,Democrat
1527,John Rogers,Chicago Sky,WNBA,TAMMY FOR ILLINOIS,2700,2016,Democrat
1528,John Rogers,Chicago Sky,WNBA,WILL JAWANDO FOR CONGRESS,2700,2016,Democrat
1529,John Rogers,Chicago Sky,WNBA,TIM SCOTT FOR SENATE,2700,2018,Republican
1530,John Rogers,Chicago Sky,WNBA,ALEJANDRA CAMPOVERDI FOR CONGRESS,2700,2018,Democrat
1531,John Rogers,Chicago Sky,WNBA,BILL FOSTER FOR CONGRESS,2700,2018,Democrat
1532,John Rogers,Chicago Sky,WNBA,COMMITTEE TO ELECT DAN KOH,2700,2018,Democrat
1533,John Rogers,Chicago Sky,WNBA,DOUG JONES FOR SENATE COMMITTEE,2700,2018,Democrat
1534,John Rogers,Chicago Sky,WNBA,ELISSA SLOTKIN FOR CONGRESS,2700,2018,Democrat
1535,John Rogers,Chicago Sky,WNBA,FRIENDS OF DICK DURBIN COMMITTEE,2700,2018,Democrat
1536,John Rogers,Chicago Sky,WNBA,HEIDI JOE VICTORY FUND,2700,2018,Democrat
1537,John Rogers,Chicago Sky,WNBA,KAREN BASS FOR CONGRESS,2700,2018,Democrat
1538,John Rogers,Chicago Sky,WNBA,KIND FOR CONGRESS COMMITTEE,2700,2018,Democrat
1539,John Rogers,Chicago Sky,WNBA,LISA BLUNT ROCHESTER FOR CONGRESS,2700,2018,Democrat
1540,John Rogers,Chicago Sky,WNBA,MANCHIN FOR WEST VIRGINIA,2700,2018,Democrat
1541,John Rogers,Chicago Sky,WNBA,MENENDEZ FOR SENATE,2700,2018,Democrat
1542,John Rogers,Chicago Sky,WNBA,MONTANA NORTH DAKOTA VICTORY FUND,2700,2018,Democrat
1543,John Rogers,Chicago Sky,WNBA,ROBIN KELLY FOR CONGRESS,2700,2018,Democrat
1544,John Rogers,Chicago Sky,WNBA,RUFUS GIFFORD FOR CONGRESS,2700,2018,Democrat
1545,John Rogers,Chicago Sky,WNBA,TOM O'HALLERAN FOR CONGRESS,2700,2018,Democrat
1546,John Rogers,Chicago Sky,WNBA,FRIENDS FOR HARRY REID,2600,2016,Democrat
1547,John Rogers,Chicago Sky,WNBA,FRIENDS OF SCHUMER,2600,2016,Democrat
1548,John Rogers,Chicago Sky,WNBA,BETO FOR TEXAS,2500,2018,Democrat
1549,John Rogers,Chicago Sky,WNBA,CONGRESSIONAL BLACK CAUCUS PAC,2500,2018,Democrat
1550,John Rogers,Chicago Sky,WNBA,MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,2500,2018,Democrat
1551,John Rogers,Chicago Sky,WNBA,FRIENDS FOR GREGORY MEEKS,2500,2020,Democrat
1552,John Rogers,Chicago Sky,WNBA,DONNELLY FOR INDIANA,2350,2018,Democrat
1553,John Rogers,Chicago Sky,WNBA,TERRI BONOFF FOR CONGRESS,2000,2016,Democrat
1554,John Rogers,Chicago Sky,WNBA,BOB CASEY FOR SENATE INC,2000,2018,Democrat
1555,John Rogers,Chicago Sky,WNBA,DONNA SHALALA FOR CONGRESS,2000,2018,Democrat
1556,John Rogers,Chicago Sky,WNBA,HALEY STEVENS FOR CONGRESS,2000,2018,Democrat
1557,John Rogers,Chicago Sky,WNBA,JOSH HARDER FOR CONGRESS,2000,2018,Democrat
1558,John Rogers,Chicago Sky,WNBA,QUIGLEY FOR CONGRESS,1500,2018,Democrat
1559,John Rogers,Chicago Sky,WNBA,DELBENE FOR CONGRESS,1500,2020,Democrat
1560,John Rogers,Chicago Sky,WNBA,DOUG JONES FOR SENATE COMMITTEE,1500,2020,Democrat
1561,John Rogers,Chicago Sky,WNBA,MAGGIE FOR NH,1500,2020,Democrat
1562,John Rogers,Chicago Sky,WNBA,MCCAFFITY FOR CONGRESS,1500,2020,Democrat
1563,John Rogers,Chicago Sky,WNBA,MIKE THOMPSON FOR CONGRESS,1500,2020,Democrat
1564,John Rogers,Chicago Sky,WNBA,STEPHANIE MURPHY FOR CONGRESS,1500,2020,Democrat
1565,John Rogers,Chicago Sky,WNBA,BARON HILL FOR INDIANA,1000,2016,Democrat
1566,John Rogers,Chicago Sky,WNBA,BEATTY FOR CONGRESS,1000,2016,Democrat
1567,John Rogers,Chicago Sky,WNBA,BOB CASEY FOR SENATE INC,1000,2016,Democrat
1568,John Rogers,Chicago Sky,WNBA,DR. RAUL RUIZ FOR CONGRESS,1000,2016,Democrat
1569,John Rogers,Chicago Sky,WNBA,HEIDI FOR SENATE,1000,2016,Democrat
1570,John Rogers,Chicago Sky,WNBA,HIMES FOR CONGRESS,1000,2016,Democrat
1571,John Rogers,Chicago Sky,WNBA,JOHN LEWIS FOR CONGRESS,1000,2016,Democrat
1572,John Rogers,Chicago Sky,WNBA,KAINE FOR VIRGINIA,1000,2016,Democrat
1573,John Rogers,Chicago Sky,WNBA,KYRSTEN SINEMA FOR CONGRESS,1000,2016,Democrat
1574,John Rogers,Chicago Sky,WNBA,MONTANANS FOR TESTER,1000,2016,Democrat
1575,John Rogers,Chicago Sky,WNBA,QUIGLEY FOR CONGRESS,1000,2016,Democrat
1576,John Rogers,Chicago Sky,WNBA,RO FOR CONGRESS INC.,1000,2016,Democrat
1577,John Rogers,Chicago Sky,WNBA,ARIZONA NEVADA VICTORY FUND,1000,2018,Democrat
1578,John Rogers,Chicago Sky,WNBA,CASTEN FOR CONGRESS,1000,2018,Democrat
1579,John Rogers,Chicago Sky,WNBA,CHRIS COONS FOR DELAWARE,1000,2018,Democrat
1580,John Rogers,Chicago Sky,WNBA,COLIN ALLRED FOR CONGRESS,1000,2018,Democrat
1581,John Rogers,Chicago Sky,WNBA,FRIENDS OF CHERI BUSTOS,1000,2018,Democrat
1582,John Rogers,Chicago Sky,WNBA,FRIENDS OF RD,1000,2018,Democrat
1583,John Rogers,Chicago Sky,WNBA,GILLIBRAND FOR SENATE,1000,2018,Democrat
1584,John Rogers,Chicago Sky,WNBA,KLOBUCHAR FOR MINNESOTA,1000,2018,Democrat
1585,John Rogers,Chicago Sky,WNBA,MAURA SULLIVAN FOR CONGRESS,1000,2018,Democrat
1586,John Rogers,Chicago Sky,WNBA,RICHARD E NEAL FOR CONGRESS COMMITTEE,1000,2018,Democrat
1587,John Rogers,Chicago Sky,WNBA,RO FOR CONGRESS INC,1000,2018,Democrat
1588,John Rogers,Chicago Sky,WNBA,SCHAKOWSKY FOR CONGRESS,1000,2018,Democrat
1589,John Rogers,Chicago Sky,WNBA,FRIENDS OF RD,1000,2020,Democrat
1590,John Rogers,Chicago Sky,WNBA,HALEY STEVENS FOR CONGRESS,1000,2020,Democrat
1591,John Rogers,Chicago Sky,WNBA,MIKE JOHNSTON FOR US SENATE,1000,2020,Democrat
1592,John Rogers,Chicago Sky,WNBA,SCHIFF FOR CONGRESS,1000,2020,Democrat
1593,John Rogers,Chicago Sky,WNBA,BLUMENTHAL FOR CONNECTICUT,500,2016,Democrat
1594,John Rogers,Chicago Sky,WNBA,COMMITTEE TO ELECT CHRIS MURPHY,500,2018,Democrat
1595,John Rogers,Chicago Sky,WNBA,ERIK JONES FOR CONGRESS,500,2018,Democrat
1596,John Rogers,Chicago Sky,WNBA,FRIENDS OF SHERROD BROWN,500,2018,Democrat
1597,John Rogers,Chicago Sky,WNBA,JOSH GOTTHEIMER FOR CONGRESS,500,2018,Democrat
1598,John Rogers,Chicago Sky,WNBA,MOULTON LEADERSHIP FUND,500,2018,Democrat
1599,John Rogers,Chicago Sky,WNBA,SAM JAMMAL FOR CONGRESS,500,2018,Democrat
1600,John Sherman,Kansas City Royals,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,5000,2020,Bipartisan
1601,John Stanton,Seattle Mariners,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,10000,2018,Bipartisan
1602,John Stanton,Seattle Mariners,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL PAC,5000,2020,Bipartisan
