Owner,Team,League,Recipient,Amount,Election Year,Party,Female
Edward Glazer,Tampa Bay Buccaneers,NFL,HURD FOR CONGRESS,2700,2018,Republican,0
Edward Glazer,Tampa Bay Buccaneers,NFL,LEA MARQUEZ PETERSON FOR CONGRESS,2700,2018,Republican,0
Edward Glazer,Tampa Bay Buccaneers,NFL,STEVE KNIGHT FOR CONGRESS,2700,2018,Republican,0
Edward Glazer,Tampa Bay Buccaneers,NFL,YOUNG KIM FOR CONGRESS,2700,2018,Republican,0
Gayle Benson,New Orleans Saints,NFL,"JEB 2016, INC.",2700,2016,Republican,1
George H. McCaskey,Chicago Bears,NFL,GRIDIRON-PAC,5000,2016,Bipartisan,0
George H. McCaskey,Chicago Bears,NFL,GRIDIRON-PAC,5000,2018,Bipartisan,0
George H. McCaskey,Chicago Bears,NFL,GRIDIRON-PAC,5000,2020,Bipartisan,0
James Irsay,Indianapolis Colts,NFL,SENATE MAJORITY PAC,25000,2016,Democrat,0
James Irsay,Indianapolis Colts,NFL,GRIDIRON-PAC,10000,2016,Bipartisan,0
James Irsay,Indianapolis Colts,NFL,TEAM HOLCOMB,10000,2018,Republican,0
James Irsay,Indianapolis Colts,NFL,GRIDIRON-PAC,10000,2018,Bipartisan,0
James Irsay,Indianapolis Colts,NFL,GRIDIRON-PAC,10000,2020,Bipartisan,0
James Irsay,Indianapolis Colts,NFL,WINRED,100,2020,Republican,0
Janice S. McNair,Houston Texans,NFL,TRUMP VICTORY,449000,2016,Republican,1
Janice S. McNair,Houston Texans,NFL,PROTECT THE HOUSE,371500,2018,Republican,1
Janice S. McNair,Houston Texans,NFL,TEAM RYAN,250400,2018,Republican,1
Janice S. McNair,Houston Texans,NFL,TEAM RYAN,244200,2016,Republican,1
Janice S. McNair,Houston Texans,NFL,GRIDIRON-PAC,10000,2016,Bipartisan,1
Janice S. McNair,Houston Texans,NFL,HARRIS COUNTY REPUBLICAN PARTY FEDERAL COMMITTEE,10000,2020,Republican,1
Janice S. McNair,Houston Texans,NFL,BRADY VICTORY FUND,5400,2018,Republican,1
Janice S. McNair,Houston Texans,NFL,TEAM GRAHAM INC,5400,2018,Republican,1
Janice S. McNair,Houston Texans,NFL,TIM SCOTT FOR SENATE,5400,2018,Republican,1
Janice S. McNair,Houston Texans,NFL,RICK SCOTT FOR FLORIDA,5000,2018,Republican,1
Janice S. McNair,Houston Texans,NFL,GRIDIRON-PAC,5000,2018,Bipartisan,1
Janice S. McNair,Houston Texans,NFL,"JEB 2016, INC.",2700,2016,Republican,1
Janice S. McNair,Houston Texans,NFL,LINDSEY GRAHAM 2016,2700,2016,Republican,1
